row_id,text,original_label,story_id,message_type,hierarchy_l1,hierarchy_l2,hierarchy_l3,hierarchy_l4,hierarchy_l5,hierarchy,hF1_path,hF1_ancestors,story_size,review_status,review_reason
1,"❗️Визит президента Сербии в силе, он летит в Москву, сообщил РИА Новости дипломатический источник",9may_politics,vucic_victory_day_moscow_visit,fact,politics,international_relations,russia_serbia,victory_day_80,,politics/international_relations/russia_serbia/victory_day_80,root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,root|root/politics|root/politics/international_relations|root/politics/international_relations/russia_serbia|root/politics/international_relations/russia_serbia/victory_day_80|root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,15,review,check_boundary_with_adjacent_story
2,"Самолет президента Сербии Вучича, направлявшийся в Москву, совершил вынужденную посадку в Баку, сообщили азербайджанские СМИ",9may_politics,vucic_victory_day_moscow_visit,fact,politics,international_relations,russia_serbia,victory_day_80,,politics/international_relations/russia_serbia/victory_day_80,root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,root|root/politics|root/politics/international_relations|root/politics/international_relations/russia_serbia|root/politics/international_relations/russia_serbia/victory_day_80|root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,15,review,check_boundary_with_adjacent_story
3,"Власти Литвы запретили перелет в воздушном пространстве страны самолета президента Сербии Александра Вучича на пути в Россию на празднование 80-летия Победы 9 мая, утверждает издание ""Вечерне новости""",9may_politics,vucic_victory_day_moscow_visit,fact,politics,international_relations,russia_serbia,victory_day_80,,politics/international_relations/russia_serbia/victory_day_80,root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,root|root/politics|root/politics/international_relations|root/politics/international_relations/russia_serbia|root/politics/international_relations/russia_serbia/victory_day_80|root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,15,review,check_boundary_with_adjacent_story
4,"Вучич, прервавший поездку в США из-за недомогания, сдержит слово и поедет на празднование 80-летия Победы в Москву, считает министр финансов Сербии Синиша Мали",9may_politics,vucic_victory_day_moscow_visit,fact,politics,international_relations,russia_serbia,victory_day_80,,politics/international_relations/russia_serbia/victory_day_80,root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,root|root/politics|root/politics/international_relations|root/politics/international_relations/russia_serbia|root/politics/international_relations/russia_serbia/victory_day_80|root/politics/international_relations/russia_serbia/victory_day_80/vucic_victory_day_moscow_visit,15,review,check_boundary_with_adjacent_story;exact_duplicate_text_with_other_story
5,"Вучич, прервавший поездку в США из-за недомогания, сдержит слово и поедет на празднование 80-летия Победы в Москву, считает министр финансов Сербии Синиша Мали",vuchich_ill,vucic_health_incident,fact,politics,europe,serbia,leadership_health,,politics/europe/serbia/leadership_health,root/politics/europe/serbia/leadership_health/vucic_health_incident,root|root/politics|root/politics/europe|root/politics/europe/serbia|root/politics/europe/serbia/leadership_health|root/politics/europe/serbia/leadership_health/vucic_health_incident,4,review,check_boundary_with_adjacent_story;exact_duplicate_text_with_other_story
6,"Состояние здоровья президента Сербии Вучича, прервавшего визит в США и прошедшего обследование в Белграде, стабильное и удовлетворительное, сообщил врач Военно-медицинской академии Драган Динчич.

Причиной недомогания Вучича, по словам врача, стало резкое повышение кровяного давления.",vuchich_ill,vucic_health_incident,fact,politics,europe,serbia,leadership_health,,politics/europe/serbia/leadership_health,root/politics/europe/serbia/leadership_health/vucic_health_incident,root|root/politics|root/politics/europe|root/politics/europe/serbia|root/politics/europe/serbia/leadership_health|root/politics/europe/serbia/leadership_health/vucic_health_incident,4,review,check_boundary_with_adjacent_story
7,"Президент Сербии Александр Вучич почувствовал себя плохо во время поездки в США и вернулся раньше времени в Сербию, сейчас он находится в Военно-медицинской академии в Белграде, передает Радио и телевидение Сербии",vuchich_ill,vucic_health_incident,fact,politics,europe,serbia,leadership_health,,politics/europe/serbia/leadership_health,root/politics/europe/serbia/leadership_health/vucic_health_incident,root|root/politics|root/politics/europe|root/politics/europe/serbia|root/politics/europe/serbia/leadership_health|root/politics/europe/serbia/leadership_health/vucic_health_incident,4,review,check_boundary_with_adjacent_story
8,"❗️Глава РФПИ Дмитриев провел в Вашингтоне встречи с представителями администрации США. Главные заявления:

▪️Россия и США за последние два дня сделали три шага вперед.

▪️Многие американские компании хотят вернуться на российский рынок.

▪️Очень много игроков пытаются сорвать диалог России и США.

▪️Между Россией и США сохраняются разногласия, но стороны стремятся их преодолеть.

▪️В администрации Трампа слышат позицию и озабоченности России.

▪️Потребуется еще ряд встреч США и России, чтобы разрешить все разногласия.

▪️С представителями администрации Трампа обсуждалось сотрудничество в Арктике и по редкоземельным металлам.",usa_russia_metals,usa_russia_rare_earth_projects,fact,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
9,"Россия и США не подписывали документов о совместных проектах по редкоземельным металлам, сообщил Песков. 

При этом он подчеркнул, что некоторые американские компании проявляют интерес к соответствующим проектам в России.",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
10,"Москва и Вашингтон начали дискуссии о различных редкоземельных металлах и проектах в России, заявил глава РФПИ Дмитриев ""Известиям""",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
