internal_metric,external_metric,spearman_corr
calinski_harabasz,dendrogram_purity,0.8881849515752198
calinski_harabasz,h_f1-score,0.8583416868122864
calinski_harabasz,h_recall,0.8425440239319937
calinski_harabasz,f1-score,0.8118927458299212
calinski_harabasz,ari,0.8049304837470644
silhouette,f1-score,0.7793509655930967
silhouette,ari,0.7733957225889809
calinski_harabasz,h_precision,0.7385843451694207
silhouette,dendrogram_purity,0.720570732826256
silhouette,h_f1-score,0.6941710624143764
davies_bouldin_inv,dendrogram_purity,0.6922309331038506
davies_bouldin_inv,h_f1-score,0.6918767053138982
silhouette,h_recall,0.688783422577473
davies_bouldin_inv,f1-score,0.6845338389928097
davies_bouldin_inv,ari,0.6758922722875543
calinski_harabasz,lca_similarity_spearman,0.6732190890615453
calinski_harabasz,tree_distance_spearman,0.6703897614421266
davies_bouldin_inv,h_recall,0.6485952649317298
davies_bouldin_inv,h_precision,0.6379437602110499
calinski_harabasz,precision,0.6034998173843562
silhouette,h_precision,0.5679801235174231
davies_bouldin_inv,lca_similarity_spearman,0.5578506981884127
davies_bouldin_inv,tree_distance_spearman,0.5553794667170904
silhouette,precision,0.5281190588662674
silhouette,lca_similarity_spearman,0.4813902583119743
silhouette,tree_distance_spearman,0.4775253748308167
davies_bouldin_inv,precision,0.4144283349812584
davies_bouldin_inv,recall,0.31657761764475134
calinski_harabasz,recall,0.23726788345272903
silhouette,recall,0.18300309368962409
