embeddings,internal_metric,external_metric,spearman_corr
jina_embeddings_v3,calinski_harabasz,f1-score,0.9328880882556382
jina_embeddings_v3,calinski_harabasz,ari,0.9323910356680253
jina_embeddings_v3,calinski_harabasz,f0.5-score,0.9059645471064822
jina_embeddings_v3,calinski_harabasz,h_f1-score,0.8844945779299168
jina_embeddings_v3,calinski_harabasz,dendrogram_purity,0.8793216075232583
jina_embeddings_v3,calinski_harabasz,precision,0.8763237496692473
jina_embeddings_v3,calinski_harabasz,h_recall,0.8747888131686846
jina_embeddings_v3,calinski_harabasz,h_precision,0.8061416293649865
jina_embeddings_v3,silhouette,f1-score,0.7430354595852465
jina_embeddings_v3,silhouette,ari,0.7410042378915667
jina_embeddings_v3,silhouette,f0.5-score,0.6784471200454114
jina_embeddings_v3,silhouette,h_f1-score,0.6529127260344108
jina_embeddings_v3,silhouette,precision,0.6479021118742795
jina_embeddings_v3,silhouette,h_precision,0.6417058192599648
jina_embeddings_v3,silhouette,dendrogram_purity,0.6414315223179048
jina_embeddings_v3,davies_bouldin_inv,f1-score,0.6376256650822366
jina_embeddings_v3,davies_bouldin_inv,ari,0.634993386208375
jina_embeddings_v3,silhouette,h_recall,0.6336495886162004
jina_embeddings_v3,davies_bouldin_inv,h_precision,0.5583902027771295
jina_embeddings_v3,davies_bouldin_inv,h_f1-score,0.5491455714764749
jina_embeddings_v3,davies_bouldin_inv,f0.5-score,0.5456759685783736
jina_embeddings_v3,davies_bouldin_inv,dendrogram_purity,0.5388702786396427
jina_embeddings_v3,davies_bouldin_inv,h_recall,0.5289173399076343
jina_embeddings_v3,davies_bouldin_inv,precision,0.5115813036169902
jina_embeddings_v3,davies_bouldin_inv,tree_distance_spearman,0.2607423129225543
jina_embeddings_v3,silhouette,tree_distance_spearman,0.22284325061034874
jina_embeddings_v3,davies_bouldin_inv,lca_similarity_spearman,0.06327523449936742
jina_embeddings_v3,calinski_harabasz,lca_similarity_spearman,0.05071552926726442
jina_embeddings_v3,silhouette,lca_similarity_spearman,0.03981024178472828
jina_embeddings_v3,calinski_harabasz,tree_distance_spearman,-0.09350878814266317
jina_embeddings_v3,davies_bouldin_inv,recall,-0.2230502482550426
jina_embeddings_v3,silhouette,recall,-0.3681890768558734
jina_embeddings_v3,calinski_harabasz,recall,-0.5763364957337582
jina_embeddings_v5_text_small_matching,calinski_harabasz,f0.5-score,0.8902439404441491
jina_embeddings_v5_text_small_matching,calinski_harabasz,f1-score,0.8865874213409722
jina_embeddings_v5_text_small_matching,calinski_harabasz,precision,0.8855211404877492
