internal_metric,external_metric,spearman_corr
calinski_harabasz,f1-score,0.8455671129418271
calinski_harabasz,dendrogram_purity,0.8442676581360716
calinski_harabasz,level_macro_f1,0.8374940422417051
calinski_harabasz,level_f1_depth_4,0.8367795395733612
calinski_harabasz,level_f1_depth_5,0.8321131545109925
calinski_harabasz,level_f1_depth_3,0.8256963348187857
calinski_harabasz,level_lower_macro_f1,0.8141541072412267
calinski_harabasz,f0.5-score,0.8042368549270453
silhouette,f1-score,0.7689364560472324
calinski_harabasz,precision,0.7673290523678448
calinski_harabasz,level_weighted_f1,0.7645690205443813
dbcv,dendrogram_purity,0.7608992339675259
dbcv,level_f1_depth_4,0.750940284564253
silhouette,level_f1_depth_3,0.750833039713712
dbcv,level_macro_f1,0.7491692145984404
silhouette,level_macro_f1,0.7459474670973968
dbcv,level_f1_depth_5,0.7446718293870673
dbcv,level_f1_depth_3,0.7438149543559134
silhouette,level_f1_depth_2,0.7383601149749212
dbcv,level_lower_macro_f1,0.7347284697830699
dbcv,f1-score,0.7248055869501645
silhouette,level_f1_depth_4,0.7130051418857286
silhouette,level_lower_macro_f1,0.7062427521758529
davies_bouldin_inv,level_f1_depth_2,0.6995930265503292
silhouette,level_f1_depth_5,0.6806985210901623
silhouette,f0.5-score,0.6802708032123654
dbcv,f0.5-score,0.6756688006307171
dbcv,level_weighted_f1,0.6719351349074578
davies_bouldin_inv,level_macro_f1,0.6482967073246481
davies_bouldin_inv,level_f1_depth_3,0.6481422511786435
silhouette,level_weighted_f1,0.6472028886275296
davies_bouldin_inv,f1-score,0.6405764517062552
dbcv,precision,0.6363571848122572
silhouette,dendrogram_purity,0.635907792948917
silhouette,precision,0.6326522172387204
calinski_harabasz,level_f1_depth_2,0.6307266631532291
davies_bouldin_inv,level_weighted_f1,0.6174633102489738
davies_bouldin_inv,level_f1_depth_4,0.6037423924692946
davies_bouldin_inv,level_lower_macro_f1,0.5964304752519601
dbcv,level_f1_depth_2,0.5890096357627124
davies_bouldin_inv,level_upper_macro_f1,0.5814861607400894
davies_bouldin_inv,level_f1_depth_5,0.5673765245481311
davies_bouldin_inv,dendrogram_purity,0.5602480686813109
silhouette,level_upper_macro_f1,0.5387495295487883
davies_bouldin_inv,f0.5-score,0.5362593784713583
calinski_harabasz,level_upper_macro_f1,0.5303263180041544
dbcv,level_upper_macro_f1,0.5045911207369429
davies_bouldin_inv,precision,0.4849854753703182
davies_bouldin_inv,level_f1_depth_6,0.10812865288091372
calinski_harabasz,level_f1_depth_6,0.07663413426743308
dbcv,level_f1_depth_6,0.061359279865325723
silhouette,level_f1_depth_6,0.04386447714744383
davies_bouldin_inv,recall,-0.012543233999451262
dbcv,recall,-0.04488290773709454
dbcv,lca_similarity_spearman,-0.1107516125371206
davies_bouldin_inv,lca_similarity_spearman,-0.12032435439544364
calinski_harabasz,lca_similarity_spearman,-0.1257262850690591
calinski_harabasz,recall,-0.14111236056504758
silhouette,recall,-0.20765176056686194
dbcv,level_f1_depth_1,-0.23971812473326015
silhouette,lca_similarity_spearman,-0.2427507432926826
calinski_harabasz,level_f1_depth_1,-0.2488246122806186
davies_bouldin_inv,level_f1_depth_1,-0.27860180053698186
silhouette,level_f1_depth_1,-0.43282052125303455
