selection_criterion,twonn_metric,external_metric,spearman_corr
best_by_f1,twonn_pca,f1-score,0.7359602662831912
best_by_f1,twonn_pca,f0.5-score,0.7150076608374065
best_by_f1,twonn_raw,f1-score,0.6970911055641812
best_by_f1,twonn_raw,f0.5-score,0.6755063000435452
best_by_f1,twonn_pca,level_f1_depth_5,0.6746738953542708
best_by_f1,twonn_raw,level_f1_depth_5,0.6372423266205993
best_by_f1,twonn_pca,precision,0.6207209363313748
best_by_f1,twonn_raw,precision,0.599468916959486
best_by_f1,twonn_pca,dendrogram_purity,0.5945301795241438
best_by_f1,twonn_raw,dendrogram_purity,0.5577709972037116
best_by_f1,twonn_umap,level_f1_depth_5,0.542346791784994
best_by_f1,twonn_umap,dendrogram_purity,0.525126558834424
best_by_f1,twonn_umap,level_lower_macro_f1,0.5028357410379882
best_by_f1,twonn_raw,level_f1_depth_1,0.4925260168799705
best_by_f1,twonn_umap,f0.5-score,0.48716302424167585
best_by_f1,twonn_pca,level_f1_depth_1,0.4861004463422075
best_by_f1,twonn_umap,level_f1_depth_4,0.48166440301271757
best_by_f1,twonn_umap,f1-score,0.4815162365724163
best_by_f1,twonn_pca,level_f1_depth_4,0.4604335046711211
best_by_f1,twonn_space,level_f1_depth_5,0.4522992450240219
best_by_f1,twonn_umap,precision,0.44320698028563194
best_by_f1,twonn_space,dendrogram_purity,0.4430933126436095
best_by_f1,twonn_pca,level_lower_macro_f1,0.4420999749060594
best_by_f1,twonn_raw,level_f1_depth_4,0.43071498288905785
best_by_f1,twonn_space,precision,0.4298737727910238
best_by_f1,twonn_raw,level_lower_macro_f1,0.41845088884324183
best_by_f1,twonn_space,level_lower_macro_f1,0.4044791262570499
best_by_f1,twonn_umap,level_f1_depth_3,0.40405811417047366
best_by_f1,twonn_space,f0.5-score,0.4026886693921398
best_by_f1,twonn_space,level_f1_depth_4,0.4011070991614693
best_by_f1,twonn_space,f1-score,0.3577332816090238
best_by_f1,twonn_pca,recall,0.340484042545671
best_by_f1,twonn_umap,level_macro_f1,0.33088035559945667
best_by_f1,twonn_raw,recall,0.31936058273146795
best_by_f1,twonn_space,level_f1_depth_3,0.27826683775476707
best_by_f1,twonn_pca,level_f1_depth_3,0.27709820702050403
best_by_f1,twonn_raw,level_f1_depth_3,0.2590176662476339
