selection_criterion,twonn_metric,internal_metric,spearman_corr
best_by_f1,twonn_pca,calinski_harabasz,0.47143362253015814
best_by_f1,twonn_raw,calinski_harabasz,0.4419979494112085
best_by_f1,twonn_umap,calinski_harabasz,0.4180186854344157
best_by_f1,twonn_space,calinski_harabasz,0.2852048581062934
best_by_f1,twonn_umap,silhouette,-0.2064699345598222
best_by_f1,twonn_umap,davies_bouldin_inv,-0.22722969913981148
best_by_f1,twonn_space,silhouette,-0.28077347736564107
best_by_f1,twonn_space,davies_bouldin_inv,-0.2995732744471964
best_by_f1,twonn_raw,davies_bouldin_inv,-0.3218098277622118
best_by_f1,twonn_pca,davies_bouldin_inv,-0.34467035958316
best_by_f1,twonn_raw,silhouette,-0.34535688833017847
best_by_f1,twonn_pca,silhouette,-0.3692896709819572
best_by_f0.5,twonn_pca,calinski_harabasz,0.46514784089642264
best_by_f0.5,twonn_raw,calinski_harabasz,0.43611118426921686
best_by_f0.5,twonn_umap,calinski_harabasz,0.36252212207268386
best_by_f0.5,twonn_space,calinski_harabasz,0.23490794067619583
best_by_f0.5,twonn_umap,silhouette,-0.2655554183644071
best_by_f0.5,twonn_space,silhouette,-0.3343230581003252
best_by_f0.5,twonn_umap,davies_bouldin_inv,-0.43721447092233606
best_by_f0.5,twonn_raw,silhouette,-0.43807343931654746
best_by_f0.5,twonn_pca,silhouette,-0.4682907317132904
best_by_f0.5,twonn_space,davies_bouldin_inv,-0.48988391871325826
best_by_f0.5,twonn_raw,davies_bouldin_inv,-0.6181103399091263
best_by_f0.5,twonn_pca,davies_bouldin_inv,-0.6610547018145106
best_by_h_f1,twonn_pca,calinski_harabasz,0.4180044786434069
best_by_h_f1,twonn_raw,calinski_harabasz,0.3919604457042793
best_by_h_f1,twonn_umap,calinski_harabasz,0.31953739144750376
best_by_h_f1,twonn_space,calinski_harabasz,0.19595058339052845
best_by_h_f1,twonn_umap,silhouette,0.01732724204634317
best_by_h_f1,twonn_space,silhouette,-0.07794455551908328
best_by_h_f1,twonn_raw,silhouette,-0.20848959877887197
best_by_h_f1,twonn_pca,silhouette,-0.22314524799760815
best_by_h_f1,twonn_umap,davies_bouldin_inv,-0.2627073301230604
best_by_h_f1,twonn_space,davies_bouldin_inv,-0.33172689564620567
best_by_h_f1,twonn_raw,davies_bouldin_inv,-0.5396201380159039
best_by_h_f1,twonn_pca,davies_bouldin_inv,-0.5772442800313714
best_by_calinski_harabasz,twonn_pca,calinski_harabasz,0.45676679871810877
best_by_calinski_harabasz,twonn_raw,calinski_harabasz,0.42826216407989465
best_by_calinski_harabasz,twonn_umap,silhouette,0.40940856895913075
best_by_calinski_harabasz,twonn_umap,calinski_harabasz,0.3571222784705931
best_by_calinski_harabasz,twonn_umap,davies_bouldin_inv,0.33682347614931885
best_by_calinski_harabasz,twonn_space,silhouette,0.2774014502700605
best_by_calinski_harabasz,twonn_pca,silhouette,0.23571681126507907
best_by_calinski_harabasz,twonn_space,calinski_harabasz,0.23001402524544176
best_by_calinski_harabasz,twonn_raw,silhouette,0.22124425658652058
best_by_calinski_harabasz,twonn_space,davies_bouldin_inv,0.21163200143236544
best_by_calinski_harabasz,twonn_pca,davies_bouldin_inv,0.11838222076868415
best_by_calinski_harabasz,twonn_raw,davies_bouldin_inv,0.1118485376978419
best_by_silhouette,twonn_pca,calinski_harabasz,0.4719574376663028
best_by_silhouette,twonn_raw,calinski_harabasz,0.44248851317304116
best_by_silhouette,twonn_umap,calinski_harabasz,0.36935424126435357
best_by_silhouette,twonn_space,calinski_harabasz,0.2410999373340097
best_by_silhouette,twonn_umap,davies_bouldin_inv,0.2138782565748858
best_by_silhouette,twonn_umap,silhouette,0.14863563402889246
best_by_silhouette,twonn_space,davies_bouldin_inv,0.10020590253946464
best_by_silhouette,twonn_pca,davies_bouldin_inv,0.055000589295185115
best_by_silhouette,twonn_raw,davies_bouldin_inv,0.052490322516092466
best_by_silhouette,twonn_space,silhouette,0.04107606457581092
best_by_silhouette,twonn_raw,silhouette,-0.08781091336804253
best_by_silhouette,twonn_pca,silhouette,-0.09481053964217626
best_by_davies_bouldin,twonn_pca,calinski_harabasz,0.4688145468494351
best_by_davies_bouldin,twonn_raw,calinski_harabasz,0.440035694363878
best_by_davies_bouldin,twonn_umap,calinski_harabasz,0.39880643700868423
best_by_davies_bouldin,twonn_space,calinski_harabasz,0.26780758556891765
best_by_davies_bouldin,twonn_umap,silhouette,0.18189076840762233
best_by_davies_bouldin,twonn_umap,davies_bouldin_inv,0.13227147384450755
best_by_davies_bouldin,twonn_space,silhouette,0.07121542180179642
best_by_davies_bouldin,twonn_space,davies_bouldin_inv,0.02624511354480618
best_by_davies_bouldin,twonn_pca,silhouette,0.018333529765061703
best_by_davies_bouldin,twonn_raw,silhouette,0.018150859187807677
best_by_davies_bouldin,twonn_raw,davies_bouldin_inv,-0.14913138359712255
best_by_davies_bouldin,twonn_pca,davies_bouldin_inv,-0.16028743166025375
